ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,audiobook_title,audiobook_uri,audiobook_chapter_uri,audiobook_chapter_title,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2024-07-09T11:47:17Z,ios,1021,LT,78.61.198.127,Sweet Illness Of Mine,Lifelover,Erotik,spotify:track:6sNQwBUNQZkSE6NI21jPmZ,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525636,False
2024-07-09T11:47:18Z,ios,0,LT,78.61.198.127,Rose Blood,Mazzy Star,Among My Swan,spotify:track:2qV5Ce0sMlFsrseRO5CTMU,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525637,False
2024-07-09T11:47:19Z,ios,998,LT,78.61.198.127,LEASE,阿保剛,Takeshi Abo KID Collection~My Merry May,spotify:track:2PV4Xn0Jy9Z5uz7akQUhdg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525638,False
2024-07-09T11:47:20Z,ios,69,LT,78.61.198.127,Cat at the Cafe,fazathecat,Cat at the Cafe,spotify:track:1hJvdyKeKRT952DKgjNlIk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525639,False
2024-07-09T11:47:21Z,ios,1277,LT,78.61.198.127,Drunk Walk Home,Mitski,Bury Me At Makeout Creek,spotify:track:093N3AMhUnOeE4wgNRsBOO,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525640,False
2024-07-09T11:47:22Z,ios,859,LT,78.61.198.127,(Sanitys Fall) Singular,Steve Gabry,Sally Face: Strange Neighbors (Original Video Game Soundtrack),spotify:track:0jJKljmTpLCkXEfyLFZfj1,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525641,False
2024-07-09T11:47:24Z,ios,1300,LT,78.61.198.127,Yippee Afternoon (Bonus Track),Milk In The Microwave,Count! Your! Stars!,spotify:track:0xroQcgByRnYCMLuaHT9rk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525642,False
2024-07-09T11:47:25Z,ios,626,LT,78.61.198.127,Ala Mode,Mindless Self Indulgence,How I Learned to Stop Giving a Shit and Love Mindless Self Indulgence,spotify:track:0V5Fr6LDRoqDgp9nLm1WWI,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525644,False
2024-07-09T11:47:26Z,ios,1369,LT,78.61.198.127,Savages,That Handsome Devil,History Is a Suicide Note,spotify:track:4QOXg01nSpCVzFUGXBZ4vy,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525645,False
2024-07-09T11:47:28Z,ios,0,LT,78.61.198.127,Souk Eye,Gorillaz,The Now Now,spotify:track:4fjzDf54eBNOlW45mNe14U,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525646,False
2024-07-09T11:47:29Z,ios,1486,LT,78.61.198.127,Americano,Lady Gaga,Born This Way,spotify:track:1sRByD63uI8ZJAOSPDczXF,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525648,False
2024-07-09T11:47:30Z,ios,882,LT,78.61.198.127,I Bet on Losing Dogs,Mitski,Puberty 2,spotify:track:2Co0IjcLTSHMtodwD4gzfg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525649,False
2024-07-09T11:51:12Z,ios,46207,LT,78.61.198.127,二十歳の恋,Lamp,ランプ幻想,spotify:track:1EA40FX9aBaKIXwIp83WzL,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525650,False
2024-07-09T11:51:15Z,ios,2159,LT,78.61.198.127,Inside Out,Duster,Stratosphere,spotify:track:6WlmEymaXKMRs3D2c4j6os,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720525872,False
2024-07-09T16:08:37Z,ios,409440,LT,78.61.198.127,Rock Lobster,The B-52's,Island Records Post Punk Box Set - Out Come The Freaks,spotify:track:4GxjWc51eJZjKUTCClw3c1,,,,,,,,fwdbtn,trackdone,True,False,False,1720525875,False
2024-07-09T16:08:43Z,ios,4883,LT,78.61.198.127,Тёмная Ночь,sweetiele,Тёмная Ночь,spotify:track:26iAyZZjxMv0yohsGxGrRr,,,,,,,,trackdone,backbtn,True,True,False,1720541317,False
2024-07-09T16:22:15Z,ios,177098,LT,78.61.198.127,Rock Lobster,The B-52's,Island Records Post Punk Box Set - Out Come The Freaks,spotify:track:4GxjWc51eJZjKUTCClw3c1,,,,,,,,backbtn,fwdbtn,True,True,False,1720541323,False
2024-07-09T16:22:16Z,ios,371,LT,78.61.198.127,Тёмная Ночь,sweetiele,Тёмная Ночь,spotify:track:26iAyZZjxMv0yohsGxGrRr,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542135,False
2024-07-09T16:22:17Z,ios,1323,LT,78.61.198.127,My Way Of Life,Frank Sinatra,Cycles,spotify:track:0Sc8AsDTBeZFWg8K9tMARE,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542136,False
2024-07-09T16:22:19Z,ios,1323,LT,78.61.198.127,Мой мармеладный (Я не права),Katya Lel,Джага-джага,spotify:track:1Hg0KhBCuME4PgsTYMBK9y,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542137,False
2024-07-09T16:22:20Z,ios,1044,LT,78.61.198.127,The Zombie Song,Stephanie Mabey,Wake Up Dreaming,spotify:track:2bfNnO1OpLCxaDR73phdMk,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542139,False
2024-07-09T16:22:21Z,ios,812,LT,78.61.198.127,Puppet Boy,DEVO,Shout,spotify:track:3sOOE5gy9FI2KuGnjqAiGg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542141,False
2024-07-09T16:22:21Z,ios,928,LT,78.61.198.127,Fighting With The Melody,Jimmy Urine,The Secret Cinematic Sounds of Jimmy Urine,spotify:track:0030KbU04p1DxgQePPHt8y,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542140,False
2024-07-09T16:22:23Z,ios,1300,LT,78.61.198.127,Pretty Little Psycho,TheExorcist,Pretty Little Psycho,spotify:track:5wvLbQI5UNl8XdJIl0BXGG,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542141,False
2024-07-09T16:22:24Z,ios,928,LT,78.61.198.127,heaven in autumn,spellcasting,doodle dump!,spotify:track:0xzlBGOLC0KpyqVbiHALDR,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542143,False
2024-07-09T16:22:28Z,ios,4179,LT,78.61.198.127,Big Juicy,Ayesha Erotica,Big Juicy,spotify:track:746z2RKWdeJjF2HnCZcZaZ,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542144,False
2024-07-09T16:22:29Z,ios,1160,LT,78.61.198.127,All In the Family (feat. Fred Durst),Korn,Follow The Leader,spotify:track:7yYvvOB7CuzdVldb6zOk1m,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542148,False
2024-07-09T16:22:31Z,ios,1393,LT,78.61.198.127,GEOTHERMAL 9,NoriiKane,GEOTHERMAL 9,spotify:track:4iyPXjLQ7t1EbnUTRRD2Yi,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542149,False
2024-07-09T16:24:33Z,ios,104861,LT,78.61.198.127,Hollywood Dream,Ayesha Erotica,Barely Legal,spotify:track:1jiLnzyX6pzVzIhTkUcSwj,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542151,False
2024-07-09T16:24:34Z,ios,1230,LT,78.61.198.127,The Red Means I Love You,Madds Buckley,Sunset on Summerville,spotify:track:3FD23QWCO0aP7fzKXHCDE8,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542273,False
2024-07-09T16:24:35Z,ios,998,LT,78.61.198.127,Race,Alex G,Race,spotify:track:50gchdAhBUnVOLqQRyKE9L,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542274,False
2024-07-09T16:24:37Z,ios,1532,LT,78.61.198.127,I'm so crazy for youuu </3,Rebzyyx,I'm so crazy for youuu </3,spotify:track:3uKqnQ0dGBcpovf9lV2nqg,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542275,False
2024-07-09T16:24:38Z,ios,1068,LT,78.61.198.127,20190724,Mac DeMarco,One Wayne G,spotify:track:6unIOeUaYgBZ8TgCWNGDPX,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542277,False
2024-07-09T16:25:05Z,ios,26749,LT,78.61.198.127,Superfast Jellyfish (feat. Gruff Rhys and De La Soul),Gorillaz,Plastic Beach,spotify:track:1UJNbgfTzG1gZZTWFJdMf1,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542278,False
2024-07-09T16:25:07Z,ios,1671,LT,78.61.198.127,Pretty Girls Make Graves - 2011 Remaster,The Smiths,The Smiths,spotify:track:3wUMcPzXcmaeW8QxTdyXQO,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542305,False
2024-07-09T16:25:12Z,ios,4829,LT,78.61.198.127,Faggot,Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,spotify:track:09RhTAi0nuzCs5KS2XWSs5,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542307,False
2024-07-09T16:25:13Z,ios,1044,LT,78.61.198.127,When the Sun Hits,Slowdive,Souvlaki,spotify:track:0oxYB9GoOIDrdzniNdKC44,,,,,,,,fwdbtn,fwdbtn,True,True,False,1720542312,False
